           1   6.42716885E-04
           2   5.96046448E-07
           3   1.78813934E-07
           4   1.19209290E-07
           5   5.96046448E-08
           6   5.96046448E-08
           7   0.00000000    
           8   1.19209290E-07
           9   1.19209290E-07
          10   0.00000000    
          11   0.00000000    
          12   1.19209290E-07
          13   1.19209290E-07
          14   0.00000000    
          15   0.00000000    
          16   4.76837158E-07
          17   2.38418579E-07
          18   0.00000000    
          19   4.29153442E-06
          20   1.28574371E-02
